Comparison	Tracts	Bases	n
GCT_ST_TL_01	    60	 1768582	 17
GCT_ST_TL_02	    38	  736384	 17
GCT_ST_TL_03	   682	 4313636	 17
GCT_ST_TL_04	   100	 1208621	 17
GCT_ST_TL_05	    59	  876941	 17
GCT_ST_TL_06	    30	  259516	 17
GCT_ST_TL_07	   124	 1462494	 17
GCT_ST_TL_08	   293	 3314151	 17
GCT_ST_TL_09	    78	  892056	 17
GCT_ST_TL_10	    39	  823970	 17
GCT_ST_TL_11	   109	 1495096	 17
GCT_ST_TL_12	    15	  394367	 17
GCT_ST_TL_13	     6	  182266	 17
GCT_ST_TL_14	   169	 2059712	 17
