Donor_Arr	Recipient_Arr	Region	Length	Psi	exclude
CH	AR	3	2505	0.00058	N
CH	AR	3	15249	0.00058	N
CH	AR	3	1505	0.00058	N
CH	AR	3	2794	0.00083	N
CH	AR	3	62	0.00083	N
CH	AR	3	2813	0.00083	N
CH	AR	3	3104	0.00083	N
CH	AR	3	3	0.00083	N
CH	AR	3	169	0.00083	N
CH	AR	3	3009	0.00083	N
CH	AR	3	362	0.00083	N
CH	AR	3	2381	0.00083	N
CH	AR	3	468	0.00083	N
CH	AR	3	1327	0.00083	N
CH	AR	3	3	0.00083	N
CH	AR	3	988	0.00083	N
CH	AR	3	38692	0.00083	N
CH	AR	3	67	0.00083	N
CH	AR	3	440	0.00083	N
CH	AR	3	268	0.00083	N
CH	AR	3	179	0.00083	N
CH	AR	3	213	0.00083	N
CH	AR	3	6	0.00083	N
CH	AR	3	59	0.00083	N
CH	AR	3	671	0.00083	N
CH	AR	3	7	0.00083	N
CH	AR	3	20	0.00083	N
CH	AR	3	174	0.00083	N
CH	AR	3	5309	0.00083	N
CH	AR	3	4871	0.00083	N
CH	AR	3	199	0.00083	N
CH	AR	3	188	0.00083	N
CH	AR	3	4131	0.00083	N
CH	AR	3	664	0.00083	N
CH	AR	3	1422	0.00083	N
CH	AR	3	24	0.00083	N
CH	AR	3	639	0.00083	N
CH	AR	3	16	0.00083	N
CH	AR	3	1193	0.00083	N
CH	AR	3	2	0.00083	N
CH	AR	3	1467	0.00083	N
CH	AR	3	8291	0.00083	N
CH	AR	3	39	0.00083	N
CH	AR	3	2	0.00083	N
CH	AR	3	6837	0.00083	N
CH	AR	3	7	0.00083	N
CH	AR	3	7	0.00083	N
CH	AR	3	3016	0.00083	N
CH	AR	3	1440	0.00083	N
CH	AR	3	18	0.00083	N
CH	AR	3	7	0.00083	N
CH	AR	3	6803	0.00083	N
CH	AR	3	39412	0.00083	N
CH	AR	3	2559	0.00083	N
CH	AR	3	108913	0.00083	N
CH	AR	3	44	0.00083	N
CH	AR	3	2287	0.00083	N
CH	AR	3	37	0.00083	N
CH	AR	3	5098	0.00083	N
CH	AR	3	705	0.00083	N
CH	AR	3	348	0.00083	N
CH	AR	3	297	0.00083	N
CH	AR	3	469	0.00083	N
CH	AR	3	268	0.00083	N
CH	AR	3	16	0.00083	N
CH	AR	3	3	0.00083	N
CH	AR	3	2782	0.00083	N
CH	AR	3	37	0.00083	N
CH	AR	3	20	0.00083	N
CH	AR	3	1920	0.00083	N
CH	AR	3	1893	0.00083	N
CH	AR	3	2891	0.00083	N
CH	AR	3	2505	0.00083	N
CH	AR	3	444	0.00083	N
CH	AR	3	3	0.00083	N
CH	AR	3	6715	0.00083	N
CH	AR	3	2333	0.00083	N
CH	AR	3	1711	0.00083	N
CH	AR	3	24	0.00083	N
CH	AR	3	4154	0.00083	N
CH	AR	3	3592	0.00083	N
CH	AR	3	5293	0.00083	N
CH	AR	3	6362	0.00083	N
CH	AR	3	9	0.00083	N
CH	AR	3	3907	0.00083	N
CH	AR	3	6986	0.00083	N
CH	AR	3	8297	0.00083	N
CH	AR	3	11050	0.00083	N
CH	AR	3	11866	0.00083	N
CH	AR	3	7154	0.00083	N
CH	AR	3	1806	0.00083	N
CH	AR	3	3170	0.00083	N
CH	AR	3	19422	0.00083	N
CH	AR	3	1377	0.00083	N
CH	AR	3	21	0.00083	N
CH	AR	3	169	0.00083	N
CH	AR	3	1279	0.00083	N
CH	AR	3	7836	0.00083	N
CH	AR	3	2597	0.00083	N
CH	AR	3	1059	0.00083	N
CH	AR	3	2556	0.00083	N
CH	AR	3	8389	0.00083	N
CH	AR	3	277	0.00083	N
CH	AR	3	3249	0.00083	N
CH	AR	3	148	0.00083	N
CH	AR	3	2	0.00083	N
CH	AR	3	2	0.00054	N
CH	AR	3	2493	0.00054	N
CH	AR	3	5216	0.00054	N
CH	AR	3	863	0.00054	N
CH	AR	3	122	0.00054	N
CH	AR	3	4	0.00054	N
CH	AR	3	10659	0.00054	N
CH	AR	3	836	0.00054	N
CH	AR	3	3613	0.00054	N
CH	AR	3	1348	0.00054	N
CH	AR	3	4567	0.00054	N
CH	AR	3	8146	0.00054	N
CH	AR	3	4291	0.00054	N
CH	AR	3	24	0.00054	N
CH	AR	3	12	0.00054	N
CH	AR	3	3240	0.00054	N
CH	AR	3	19614	0.00054	N
CH	AR	3	8243	0.00054	N
CH	AR	3	121	0.00054	N
CH	AR	3	5581	0.00054	N
CH	AR	3	589	0.00054	N
CH	AR	3	14110	0.00054	N
CH	AR	3	414	0.00054	N
CH	AR	3	10686	0.00054	N
CH	AR	3	5879	0.00054	N
CH	AR	3	2980	0.00054	N
CH	AR	3	7	0.00054	N
CH	AR	3	985	0.00054	N
CH	AR	3	306	0.00054	N
CH	AR	3	1433	0.00054	N
CH	AR	3	1977	0.00054	N
CH	AR	3	485	0.00054	N
CH	AR	3	10277	0.00054	N
CH	AR	3	1205	0.00054	N
CH	AR	3	1458	0.00054	N
CH	AR	3	8609	0.00054	N
CH	AR	3	1779	0.00054	N
CH	AR	3	3758	0.00054	N
CH	AR	3	1701	0.00054	N
CH	AR	3	6925	0.00054	N
CH	AR	3	823	0.00054	N
CH	AR	3	2	0.00054	N
CH	AR	3	3364	0.00054	N
CH	AR	3	357	0.00054	N
CH	AR	3	1033	0.00054	N
CH	AR	3	345	0.00054	N
CH	AR	3	4290	0.00054	N
CH	AR	3	412	0.00054	N
CH	AR	3	38253	0.00054	N
CH	AR	3	7427	0.00054	N
CH	AR	3	6079	0.00054	N
CH	AR	3	2797	0.00054	N
CH	AR	3	2355	0.00054	N
CH	AR	3	1005	0.00054	N
CH	AR	3	2883	0.00054	N
CH	AR	3	46	0.00054	N
CH	AR	3	11856	0.00054	N
CH	AR	3	8	0.00054	N
CH	AR	3	1756	0.00054	N
CH	AR	3	3424	0.00054	N
CH	AR	3	6033	0.00054	N
CH	AR	3	3369	0.00054	N
CH	AR	3	334	0.00054	N
CH	AR	3	4634	0.00054	N
CH	AR	3	1986	0.00054	N
CH	AR	3	93	0.00054	N
CH	AR	3	86	0.00054	N
CH	AR	3	146	0.00054	N
CH	AR	3	7035	0.00054	N
CH	AR	3	8512	0.00054	N
CH	AR	3	15199	0.00054	N
CH	AR	3	7177	0.00054	N
CH	AR	3	447	0.00054	N
CH	AR	3	200240	0.00054	N
CH	AR	3	695	0.00054	N
CH	AR	3	7191	0.00054	N
CH	AR	3	12296	0.00054	N
CH	AR	3	447	0.00054	N
CH	AR	3	66	0.00054	N
CH	AR	3	3521	0.00054	N
CH	AR	3	3895	0.00054	N
CH	AR	3	9350	0.00054	N
CH	AR	3	494	0.00054	N
CH	AR	3	1684	0.00054	N
CH	AR	3	4852	0.00054	N
CH	AR	3	1856	0.00054	N
CH	AR	3	73	0.00054	N
CH	AR	3	13655	0.00076	N
CH	AR	3	938	0.00076	N
CH	AR	3	11014	0.00076	N
CH	AR	3	1546	0.00076	N
CH	AR	3	3	0.00076	N
CH	AR	3	4897	0.00076	N
CH	AR	3	3972	0.00076	N
CH	AR	3	138	0.00076	N
CH	AR	3	637	0.00076	N
CH	AR	3	12	0.00076	N
CH	AR	3	982	0.00076	N
CH	AR	3	2709	0.00076	N
CH	AR	3	4268	0.00076	N
CH	AR	3	735	0.00076	N
CH	AR	3	1466	0.00076	N
CH	AR	3	142209	0.00076	N
CH	AR	3	11541	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	7	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	683	0.00076	N
CH	AR	3	894	0.00076	N
CH	AR	3	5785	0.00076	N
CH	AR	3	290	0.00076	N
CH	AR	3	116	0.00076	N
CH	AR	3	3844	0.00076	N
CH	AR	3	7	0.00076	N
CH	AR	3	514	0.00076	N
CH	AR	3	2701	0.00076	N
CH	AR	3	10	0.00076	N
CH	AR	3	3210	0.00076	N
CH	AR	3	8955	0.00076	N
CH	AR	3	9352	0.00076	N
CH	AR	3	6	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	165	0.00076	N
CH	AR	3	238	0.00076	N
CH	AR	3	2646	0.00076	N
CH	AR	3	31	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	3082	0.00076	N
CH	AR	3	3049	0.00076	N
CH	AR	3	4591	0.00076	N
CH	AR	3	13769	0.00076	N
CH	AR	3	524	0.00076	N
CH	AR	3	6	0.00076	N
CH	AR	3	2	0.00076	N
