Region,Beg,End,Count
  495,   6106035,   6106121, 1.115
  496,   6106672,   6106690, 1.000
  497,   6107146,   6107153, 1.000
  498,   6109036,   6109104, 1.000
  499,   6111596,   6111665, 1.000
  500,   6111685,   6111731, 1.489
  501,   6111769,   6112114, 1.000
  502,   6112571,   6113395, 3.185
  503,   6113581,   6113633, 1.000
  504,   6113922,   6117755, 1.881
  505,   6118121,   6120113, 1.000
  506,   6120543,   6120545, 1.000
  507,   6120888,   6124103, 1.563
  508,   6124619,   6129036, 1.554
  509,   6133459,   6134765, 1.555
  510,   6136973,   6136981, 1.000
  511,   6137177,   6138894, 1.738
  512,   6139016,   6144773, 1.386
  513,   6148012,   6148093, 1.000
  514,   6151354,   6153900, 2.223
  515,   6154281,   6154363, 2.012
  516,   6158923,   6158926, 1.000
  517,   6159835,   6159836, 1.000
  518,   6160990,   6160996, 1.000
  519,   6162730,   6162738, 1.000
  520,   6163652,   6163663, 1.000
  521,   6163834,   6164603, 1.000
  522,   6165676,   6166584, 1.012
  523,   6166621,   6166641, 1.000
  524,   6166671,   6183650, 2.501
  525,   6186638,   6187761, 1.473
  526,   6197354,   6198941, 2.559
  527,   6203731,   6208087, 2.143
  528,   6209448,   6209450, 1.000
  529,   6209791,   6210963, 1.063
  530,   6210974,   6213423, 1.243
  531,   6215342,   6215387, 1.000
  532,   6216597,   6217216, 1.524
  533,   6217853,   6224444, 1.854
  534,   6225817,   6225920, 1.000
  535,   6226538,   6226582, 1.222
  536,   6229135,   6229170, 1.889
  537,   6229869,   6230065, 1.000
  538,   6230088,   6230097, 1.000
  539,   6232990,   6233088, 1.323
  540,   6235421,   6236438, 1.276
  541,   6237772,   6237788, 1.000
  542,   6238348,   6238353, 1.000
  543,   6241260,   6243201, 1.065
  544,   6244026,   6245012, 1.280
  545,   6245263,   6245638, 1.223
  546,   6245730,   6246303, 1.293
  547,   6251334,   6252925, 1.249
  548,   6255034,   6255096, 1.000
  549,   6255525,   6256423, 1.236
  550,   6257695,   6258939, 1.000
  551,   6259229,   6259339, 1.000
  552,   6259869,   6259870, 1.000
  553,   6260257,   6263428, 1.032
  554,   6266850,   6269051, 1.096
  555,   6271757,   6275170, 1.000
  556,   6276658,   6276690, 1.000
